idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
7879	-inf	-inf	4	1	7879	vartaa	koulu	4	6	5
7880	103.75749098944624	-2253.4663547401256	4	8	7880	kolmansken	neuvostoliiton	4	10	14
7881	124.26160934233444	-2007.7499548203016	4	17	7881	kulkaa	kirjasta	4	6	8
7882	102.490388859227	-853.2981023675552	4	65	7882	tuolla	kaupensa	4	6	8
7883	138.21576981297375	69.33368613339573	4	178	7883	kuuluuta	korkeakoulun	4	8	12
7884	94.76915482809724	-2304.1018004431544	4	6	7884	päätökset	vahvan	4	9	6
7885	89.27900081974605	-2343.897471474448	4	5	7885	lukiossa	tekniset	4	8	8
7886	-inf	-inf	4	1	7886	toimennaksi	kuntaa	4	11	6
7887	121.969358530297	-1714.9346800601763	4	29	7887	helinkunta	tekemässä	4	10	9
7888	70.02691066169427	-2406.401937641971	4	3	7888	ilmassa	kilpailuihin	4	7	12
7889	-5.468036351519638	-2509.5894892542447	4	2	7889	puolettaa	mahdollista	4	9	11
7890	126.81814658188335	-1634.7923241889985	4	32	7890	levytti	kauppaliita	4	7	11
7891	113.9434648004004	-1699.4443351611988	4	30	7891	perustamineen	johtavat	4	13	8
7892	134.0578952319352	-1871.7598836690263	4	22	7892	liikeusta	varitti	4	9	7
7893	108.09078237092004	-1411.1618207935762	4	42	7893	kalemmin	helsikku	4	8	8
7894	76.6437739227124	-2259.6896452103265	4	9	7894	vierailta	valtataan	4	9	9
7895	-7.877945998457158	-2510.4337810021148	4	2	7895	siirin	vaihtalainen	4	6	12
7896	108.65164944019143	-1881.5493150621	4	23	7896	annettiin	kaarla	4	9	6
7897	127.97767837950214	-2128.0652924141464	4	12	7897	lähten	kaksikon	4	6	8
7898	-inf	-inf	4	1	7898	molmaan	mestari	4	7	7
7899	143.62374087971426	-825.7289997339875	4	65	7899	vedettiin	keskeyttänyt	4	9	12
7900	-inf	-inf	4	1	7900	levyttämään	tapahtumaan	4	11	11
7901	-inf	-inf	4	1	7901	laulojen	muuttamaan	4	8	10
7902	-inf	-inf	4	1	7902	helpomman	kerrottu	4	9	8
7903	-inf	-inf	4	1	7903	paikallisista	kuuluisa	4	13	8
7904	-inf	-inf	4	1	7904	kenraikan	vaihteen	4	9	8
7905	-inf	-inf	4	1	7905	alattu	albumilla	4	6	9
7906	81.24055373219768	-2377.368902580933	4	4	7906	arvostelu	tuotto	4	9	6
7907	130.54594896342354	-92.21232743227742	4	98	7907	tehopissa	kaava	4	9	5
7908	96.0883855877236	-2237.249040181548	4	9	7908	henkilökohjeiskunnan	kulaisuuden	4	20	11
7909	104.83462521110606	-2004.5154880446703	4	18	7909	turkkilaiset	paikka	4	12	6
7910	133.43237369282906	-2064.258807010008	4	14	7910	saarella	kastuu	4	8	6
7911	162.12993264994557	134.7904337616473	4	693	7911	tekniseuksi	henkilökohtain	4	11	14
7912	73.0960607662661	-2360.4353719103365	4	5	7912	kannakselle	asuneet	4	11	7
7913	142.0665521726317	-939.2719215994018	4	60	7913	kohtalia	oikeuseen	4	8	9
7914	125.03726485633776	-665.5312803578701	4	72	7914	kapon	lukeuttaa	4	5	9
7915	88.21523446557251	-2390.474205531694	4	3	7915	materiaali	vaihtoi	4	10	7
7916	102.8876715344425	-2009.2305890888565	4	18	7916	mansa	kansalaisen	4	5	11
7917	-inf	-inf	4	1	7917	keskustalla	tuottaa	4	11	7
7918	83.66053949868395	-2105.388177745147	4	15	7918	osallistumien	päätöksestä	4	13	11
7919	113.43197463812234	46.07178635252605	4	166	7919	rannata	energiaa	4	7	8
7920	99.87996188792611	-2112.264069272819	4	14	7920	pelaavaa	keskikirjoittautui	4	8	18
7921	-inf	-inf	4	1	7921	telampi	suuntaa	4	7	7
7922	72.7634215539957	-2283.38201203464	4	8	7922	keskisyyskuuta	pelaajana	4	14	9
7923	96.163650699186	-2203.7736036839165	4	10	7923	kisoille	venäjä	4	8	6
7924	21.576977773778143	-2479.3298247530465	4	2	7924	komentajien	kirjailijaksi	4	11	13
7925	142.2906744597913	40.01360740313984	4	105	7925	jäsentin	pelasivat	4	8	9
7926	11.027520006086652	-2483.100743793048	4	2	7926	valvat	konstantin	4	6	10
7927	88.08027348806503	-2345.589932120624	4	5	7927	siirtettiin	samo	4	11	4
7928	86.56505405123782	-2270.685095635076	4	8	7928	maailmansoma	artikkelin	4	12	10
7929	124.6333120059912	-2112.3964480692666	4	13	7929	kirjettä	menestyksessä	4	8	13
7930	77.97371438597328	-2349.975781015105	4	5	7930	autoja	selki	4	6	5
7931	-inf	-inf	4	1	7931	muuttiin	tekemisen	4	8	9
7932	-inf	-inf	4	1	7932	lähtiä	keskustelut	4	6	11
7933	-inf	-inf	4	1	7933	käytöstä	esiteltään	4	8	10
7934	-inf	-inf	4	1	7934	kenteestä	kerralla	4	9	8
7935	-inf	-inf	4	1	7935	aluperässä	tutkimuksen	4	10	11
7936	124.53038658082524	-1659.1057976403151	4	31	7936	tehteistiön	tuottivat	4	11	9
7937	-inf	-inf	4	1	7937	suutilla	esiintyminen	4	8	12
7938	141.9591579502657	58.19410861061704	4	145	7938	pelaajanjan	asuntomaan	4	11	10
7939	-inf	-inf	4	1	7939	joenny	kuuluisa	4	6	8
7940	-inf	-inf	4	1	7940	saatiokoli	valtakunnallinen	4	10	16
7941	-inf	-inf	4	1	7941	marraskuun	oikeus	4	10	6
7942	-inf	-inf	4	1	7942	kummaksi	päätetty	4	8	8
7943	12.75395271229968	-2484.0014328408542	4	2	7943	harvoista	vaikuttavat	4	9	11
7944	-inf	-inf	4	1	7944	lappeluja	julkisuun	4	9	9
7945	32.190788009769484	-2467.0365461583333	4	2	7945	aloutui	kaupungin	4	7	9
7946	126.96973346621505	-1513.419098769929	4	37	7946	viikkona	vahvaa	4	8	6
7947	121.4572850028672	-2210.578158374616	4	9	7947	valin	kolmeilija	4	5	10
7948	26.905480473069165	-2472.9236871409607	4	2	7948	muilta	toistaa	4	6	7
7949	112.79819793177478	-2291.8170333176104	4	6	7949	lapseiden	venersit	4	9	8
7950	137.2362997232247	39.83342607076399	4	113	7950	saarittiin	toisin	4	10	6
7951	83.20316470939578	-2398.736092347532	4	3	7951	siistä	kouluttu	4	6	8
7952	-inf	-inf	4	1	7952	päättävät	venäläistä	4	9	10
7953	92.19387285546549	-2244.07628377684	4	9	7953	kaateen	tapaa	4	7	5
7954	34.375930778571984	-2437.1179520714977	4	3	7954	tulokselta	senttin	4	10	7
7955	122.813278773942	-2015.0502884422287	4	17	7955	turheilijoiden	kilpailussa	4	14	11
7956	101.54016407529188	-2237.390617813272	4	9	7956	samankuupun	läheisissä	4	11	10
7957	-inf	-inf	4	1	7957	tarretkunnan	tekstiä	4	12	7
7958	-34.46603868073444	-2531.41951031652	4	2	7958	muulla	valtakunnan	4	6	11
7959	127.48061824956208	-11.22621745914239	4	978	7959	sipuissa	vahvistaa	4	8	9
7960	104.66021003762944	-1431.9895291502703	4	41	7960	sijaittiin	käyttämään	4	10	10
7961	63.38269527988295	-2399.782149048323	4	4	7961	kaltaisen	kohtalaisen	4	9	11
7962	95.68146087717014	-2187.502596618913	4	11	7962	kaupaksan	valtaan	4	9	7
7963	-4.638915558946676	-2500.3575048501702	4	2	7963	liittou	koritettiin	4	7	11
7964	100.16054951901698	-2303.2492482482985	4	6	7964	kirjoitettiin	karvasi	4	13	7
7965	-inf	-inf	4	1	7965	kilpailija	vaativat	4	10	8
7966	91.70556320280132	-2193.6826212072074	4	11	7966	maailmansuutta	kaupunginosa	4	14	12
7967	128.49982321096644	-924.895904936876	4	61	7967	painettiin	kortettiin	4	10	10
7968	-inf	-inf	4	1	7968	suuntaan	paikka	4	8	6
7969	134.68016973859304	-364.5409801832184	4	85	7969	stadionin	pariksi	4	9	7
7970	119.07638470154662	-2059.6466395640023	4	16	7970	vaikeutukset	tehtävässä	4	12	10
7971	46.1800879756331	-2425.8615126811374	4	3	7971	mahtojen	vaikkuttaa	4	8	10
7972	89.45960736865372	-2267.323783528136	4	8	7972	kuuluttiin	mallin	4	10	6
7973	69.14343165662841	-2362.4898432329464	4	5	7973	ajotettu	esitettiin	4	8	10
7974	88.33208360615232	-2295.6007972980874	4	7	7974	kirkot	talaisen	4	6	8
7975	136.6680470309947	-1822.650442145787	4	24	7975	valmentaa	taitteille	4	9	10
7976	85.35347617588434	-2367.9655417788954	4	4	7976	saavuttuneet	kenraaliosaaristen	4	12	18
7977	127.04649551467055	-1509.9094755364883	4	37	7977	voittoja	kauppa	4	8	6
7978	72.15999634587241	-2383.964470440142	4	4	7978	viittiin	valta	4	8	5
7979	57.86780879047647	-2420.7798516142293	4	3	7979	edustajat	jatkaa	4	9	6
7980	2.3890226979555336	-2472.661173230806	4	3	7980	liittyvä	tutkimuksen	4	8	11
7981	146.286846824905	-1642.9074121087665	4	31	7981	esitteli	kuninkaan	4	8	9
7982	-inf	-inf	4	1	7982	minaalista	suosiosa	4	10	8
7983	108.09132170851316	-2124.4622194662484	4	13	7983	helmokuva	kuulle	4	9	6
7984	79.4708384962073	-2326.517032239128	4	6	7984	tukikohtaan	kuuluu	4	11	6
7985	88.97745607075164	-2366.7945991885035	4	4	7985	paali	elokuvalla	4	5	10
7986	106.11431922309086	-1922.812252741844	4	21	7986	sopittamaan	maailmansoittanut	4	11	17
7987	63.19515439049248	-2399.0673144295306	4	4	7987	kielenä	puolella	4	7	8
7988	93.82072416717592	-2311.2842511978683	4	6	7988	merkkitään	valitsi	4	10	7
7989	93.28499683387707	-2291.9120776459577	4	7	7989	merellä	puheleen	4	7	8
7990	-inf	-inf	4	1	7990	luonne	henkilökohtaisesti	4	6	18
7991	-inf	-inf	4	1	7991	tuntumassa	lastua	4	10	6
7992	133.84732242594117	71.9459211022275	4	180	7992	tukistuksen	syyttänyt	4	11	9
7993	-inf	-inf	4	1	7993	kasvastaa	sekuran	4	9	7
7994	-inf	-inf	4	1	7994	espaalle	albumin	4	8	7
7995	129.57831128005384	74.84421100652929	4	267	7995	kuulutusta	kesitti	4	10	7
7996	75.78529156405352	-2385.221510621651	4	4	7996	lopettava	samalla	4	9	7
7997	-inf	-inf	4	1	7997	espon	kattaisia	4	5	9
7998	105.94545152200048	-2029.3716661659748	4	17	7998	merkkikkä	toimia	4	9	6
7999	90.04387508533209	-2318.130930689255	4	6	7999	kertainen	kuninkaan	4	9	9
8000	26.546160560274515	-2450.7038512537897	4	3	8000	alettoi	muustomuksen	4	7	12
8001	-5.246749026376876	-2502.59732885469	4	2	8001	väityn	kaupun	4	6	6
8002	91.4911820129866	-2292.1648359065093	4	7	8002	mainer	maailmansosarjan	4	6	16
8003	72.62080528473302	-2284.267558316601	4	8	8003	muistamisen	maailmansota	4	11	12
8004	66.59086240080019	-2267.1726937976314	4	9	8004	lautaneet	maailmansoda	4	9	12
8005	106.47293469494758	-1604.710768715131	4	34	8005	keviintyy	tekijän	4	9	7
8006	129.1856625053832	-808.1136159080684	4	66	8006	ranskalta	enterty	4	9	7
8007	128.15646328817186	37.82742709569834	4	122	8007	vereen	kaupungean	4	6	10
8008	105.70295873600634	-2033.1504215343004	4	17	8008	elämä	saatu	4	5	5
8009	124.44813209443178	-1465.2322105069393	4	39	8009	nouluja	vankilukunta	4	7	12
8010	101.26254830440791	-2133.76920041057	4	13	8010	oloissa	asukkailla	4	7	10
8011	-9.732192771138408	-2503.860430959019	4	2	8011	saavettu	vallassa	4	8	8
8012	-inf	-inf	4	1	8012	auristen	kuninalainen	4	8	12
8013	83.33052542959632	-2351.973266158537	4	5	8013	lehtin	opinnostunut	4	6	12
8014	17.652688653280233	-2481.7442282257834	4	2	8014	kunsainmisti	albumisten	4	12	10
8015	-36.63830614036275	-2532.4271896840087	4	2	8015	tuotun	paikalliset	4	6	11
8016	90.45701318509596	-2144.92179273675	4	13	8016	kevisi	kohtana	4	6	7
8017	129.92731773724157	-1628.32983194117	4	32	8017	johnskon	suunnitella	4	8	11
8018	114.05914721067676	-1893.6890855310637	4	22	8018	levisi	elämään	4	6	7
8019	112.7882146828575	-2166.3453038756006	4	11	8019	seuraavien	maailmanscolle	4	10	14
8020	-inf	-inf	4	1	8020	puuttumaan	riittiin	4	10	8
8021	80.66822298735039	-2300.652476332351	4	7	8021	kentoa	heikko	4	6	6
8022	69.0930971502351	-2412.133480191084	4	3	8022	tuhoustui	kansalliset	4	9	11
8023	63.147252406712965	-2340.3087049849205	4	6	8023	reitaa	tekniikka	4	6	9
8024	138.48051852985077	-1969.4440148377516	4	18	8024	kentakin	valtaa	4	8	6
8025	23.90504638061488	-2472.2868603965926	4	2	8025	muuttama	tarikko	4	8	7
8026	63.26654507679624	-2411.591088575968	4	3	8026	tavalle	saman	4	7	5
8027	69.44830048629869	-2379.233693253121	4	4	8027	maksena	kerään	4	7	6
8028	127.69672752105264	-1241.3564483104517	4	48	8028	keskun	vaaleissa	4	6	9
8029	-inf	-inf	4	1	8029	syöttävät	merkityi	4	9	8
8030	-45.0283050283316	-2545.2031089156103	4	2	8030	syöttävään	katsoja	4	10	7
8031	-inf	-inf	4	1	8031	komentaja	kohtaa	4	9	6
8032	107.71359827621498	-2223.776479973324	4	9	8032	juutalaisten	kotimaata	4	12	9
8033	-inf	-inf	4	1	8033	maaikaan	suunnitelmansa	4	8	14
8034	141.66814679467137	82.26987444013416	4	217	8034	luuttava	turkkaa	4	8	7
8035	62.169956177670834	-2412.360258700734	4	3	8035	pietaan	tehtävän	4	7	8
8036	-inf	-inf	4	1	8036	talvella	teihämen	4	8	8
8037	124.96102013169606	-503.403337775784	4	79	8037	pienettiin	virallisen	4	10	10
8038	102.55789411348246	-2256.2663304917864	4	8	8038	esittäntymään	suunnitelmaan	4	13	13
8039	-40.5818573177573	-2544.959011784254	4	2	8039	politiikan	tutketta	4	10	8
8040	144.2829324942757	66.73831595741632	4	140	8040	yhteyttänyt	kuullut	4	11	7
8041	88.19329773448965	-2321.321504478846	4	6	8041	korottiin	toistaa	4	9	7
8042	-inf	-inf	4	1	8042	kaikkein	kantoja	4	8	7
8043	-inf	-inf	4	1	8043	amerikan	pyrkeivät	4	8	9
8044	-inf	-inf	4	1	8044	valtakunnalliset	liiketty	4	16	8
8045	60.520959003974085	-2377.629141565895	4	5	8045	albumille	käsittelee	4	9	10
8046	133.91582930715526	-1555.3089709899057	4	35	8046	ketäyttävä	nii	4	10	3
8047	92.72121293884706	-2311.816572000676	4	6	8047	valtaisesti	kansalaisen	4	11	11
8048	156.76216975111558	70.81674408914193	4	154	8048	maanlaksen	liiketoisia	4	10	11
8049	99.03379623879144	-2012.8851205392568	4	18	8049	kansallinnan	koirasta	4	12	8
8050	122.07190972121468	-1963.910649573924	4	19	8050	tuntuvaan	luonnosti	4	9	9
8051	-inf	-inf	4	1	8051	kerro	tunnettu	4	5	8
8052	-inf	-inf	4	1	8052	kehittäviä	erillin	4	10	7
8053	126.43589931793689	-1534.9924493611782	4	37	8053	tehtävää	parhaa	4	8	6
8054	136.78343225525035	-933.4807512867884	4	60	8054	taidella	varsinainen	4	8	11
8055	105.99384881581447	-2272.2376341039267	4	7	8055	rakeat	karsintaan	4	6	10
8056	101.1376641343798	-708.9489206458244	4	71	8056	kunnostaa	olteen	4	9	6
8057	-7.962899236607954	-2507.2045603351007	4	2	8057	peri	tehevässä	4	4	9
8058	-inf	-inf	4	1	8058	kausan	kehityksen	4	6	10
8059	140.96393700142005	55.805481958312185	4	131	8059	kokien	perustaminen	4	6	12
8060	113.65113281804742	-2194.3640401978746	4	10	8060	suoman	ympäristä	4	6	9
8061	147.83342489035994	64.2182681058068	4	123	8061	osalliset	metsä	4	9	5
8062	118.47866656570956	-1521.0026685580908	4	37	8062	kaikensa	kaavi	4	8	5
8063	13.717223412198653	-2488.06959089347	4	2	8063	helmikko	tutki	4	8	5
8064	125.45868564056715	-1441.7270812142951	4	40	8064	vahvistajan	muuttuvat	4	11	9
8065	115.94663066253317	-1916.031714193384	4	21	8065	pienensä	menet	4	8	5
8066	-inf	-inf	4	1	8066	saistelun	tarkallen	4	9	9
8067	117.05992251671036	-2041.2718195747543	4	16	8067	haluaan	kokoinassa	4	7	10
8068	128.21277453564798	-1659.4635954535854	4	31	8068	tilanne	verran	4	7	6
8069	86.46463819691326	-2366.1452051617816	4	4	8069	puoliväliin	perustaminen	4	11	12
8070	122.4830500705061	-1719.3277954135706	4	29	8070	pohjajan	suomen	4	8	6
8071	89.35138212611876	-2174.7372628967214	4	12	8071	kertoimien	siirtamaan	4	10	10
8072	62.95967849665354	-2416.712412187668	4	3	8072	pallimmilla	kotimaan	4	11	8
8073	75.44721494829345	-2399.015195712791	4	3	8073	lehdessä	vahvasti	4	8	8
8074	19.58275363362905	-2484.483023950387	4	2	8074	rakentumaan	valtalo	4	11	7
8075	71.07663772811259	-2402.9846471734936	4	3	8075	kannettajien	merkittävässä	4	12	13
8076	-31.38194947517807	-2528.107130354734	4	2	8076	meni	kuningaalissa	4	4	13
8077	-8.9447626369264	-2508.038432152873	4	2	8077	peliaikaisen	kaupunginmaan	4	12	13
8078	19.88238043210103	-2460.704917852422	4	3	8078	valitteita	valmentajansa	4	10	13
8079	-inf	-inf	4	1	8079	mahdollisuuden	kalat	4	14	5
8080	96.63426127328458	-2332.306238329729	4	5	8080	rakenteilun	tuottelussa	4	11	11
8081	115.9857271345885	-1993.7716700522003	4	18	8081	keskittyvä	katkui	4	10	6
8082	134.8177998868419	-1432.766620498743	4	40	8082	tulkomattaja	ajativan	4	12	8
8083	130.80796797166605	-144.20403420184445	4	94	8083	teoriassa	kesättynyt	4	9	10
8084	99.5256501099246	-2132.18287055552	4	13	8084	taskallinen	muutama	4	11	7
8085	-inf	-inf	4	1	8085	kommenta	jakaisen	4	8	8
8086	125.81145645401696	-1860.186856732236	4	23	8086	arvettiin	lisättä	4	9	7
8087	7.320925149189676	-2491.539541001021	4	2	8087	maalerikan	paljot	4	10	6
8088	-inf	-inf	4	1	8088	suunnitelmata	tutkustajat	4	13	11
8089	94.48110452582014	-2291.244713862687	4	7	8089	eteläiset	kansainvälisten	4	9	15
8090	133.39019529167024	-1186.071584735103	4	50	8090	kartat	suurimman	4	6	9
8091	80.0190916699338	-1980.0491039574024	4	20	8091	maataloudelliseksi	kientämään	4	18	10
8092	141.74250934118203	-1542.2766420243092	4	35	8092	kuningankristin	kotia	4	15	5
8093	82.61392738203807	-2254.6880585185854	4	9	8093	kenraille	saama	4	9	5
8094	-inf	-inf	4	1	8094	mene	espanjaan	4	4	9
8095	-inf	-inf	4	1	8095	keskeytyi	viimeistä	4	9	9
8096	80.60687608785702	-2374.257469436255	4	4	8096	piirikunnalla	kilpailuin	4	13	10
8097	21.862734515423337	-2455.055655638054	4	3	8097	syyttävä	maihin	4	8	6
8098	105.50327174388134	-2249.2918976903056	4	8	8098	taitemaan	tarkkaa	4	9	7
8099	27.309914874838142	-2472.9619329527063	4	2	8099	poliittista	sijaitsee	4	11	9
8100	106.0541885849044	-1759.7941228076693	4	28	8100	tunnustu	olemaan	4	8	7
8101	-inf	-inf	4	1	8101	mestareiden	alueilla	4	11	8
8102	-inf	-inf	4	1	8102	tehosialiitossa	muodon	4	15	6
8103	141.5656396313123	-1257.4291824911104	4	47	8103	henkilöiden	erillisen	4	11	9
8104	137.3657407455701	7.8223983744684515	4	119	8104	julkaiseksi	perha	4	11	5
8105	91.0848296606952	-2295.600828347842	4	7	8105	malliskuuha	poike	4	11	5
8106	121.46132453137066	-2181.676765473453	4	10	8106	kensielin	pienen	4	9	6
8107	-inf	-inf	4	1	8107	karsinnut	mielestä	4	9	8
8108	-inf	-inf	4	1	8108	maailmansomien	kortettiin	4	14	10
8109	115.00589381748082	-2092.319354116454	4	14	8109	kannettu	paikalle	4	8	8
8110	153.22891414423142	-1092.8211607664452	4	53	8110	kankalainen	kuljettavat	4	11	11
8111	97.58032545293004	-2357.509951237779	4	4	8111	kunnia	toimittaja	4	6	10
8112	92.5105520777358	-2290.340726558745	4	7	8112	kortittiin	kennestyneyt	4	10	12
8113	150.4486068379919	-274.1199918288036	4	88	8113	lampu	maailmanmuutus	4	5	14
8114	127.20172567947812	-2082.489896653228	4	14	8114	kaltaista	maaleusa	4	9	8
8115	-inf	-inf	4	1	8115	järjestävä	valmistua	4	10	9
8116	123.4849191807035	-1739.5694687466928	4	28	8116	kantalaisista	simon	4	13	5
8117	119.14908520771934	-2137.62346223933	4	12	8117	lampua	paikallinen	4	6	11
8118	-inf	-inf	4	1	8118	ranskaan	helpommin	4	8	9
8119	-22.26295327845437	-2526.756801709959	4	2	8119	tasantettiin	taistelua	4	12	9
8120	129.84501922328948	21.826298073939142	4	103	8120	kasvittain	puolustus	4	10	9
8121	-inf	-inf	4	1	8121	kokemuksista	siittävät	4	12	9
8122	-inf	-inf	4	1	8122	vestä	tappaluksen	4	5	11
8123	-inf	-inf	4	1	8123	pelasten	kaupungin	4	8	9
8124	42.61370988605397	-2408.524118805163	4	4	8124	todella	osan	4	7	4
8125	113.248324684225	-2194.6304860180016	4	10	8125	tavallisten	eteläosassa	4	11	11
8126	-inf	-inf	4	1	8126	alueisiin	taistelun	4	9	9
8127	147.69167816538004	56.69536052736673	4	129	8127	maailmanseudulla	kirjallisuudessa	4	16	16
8128	112.9072541944787	-1059.7355818374551	4	56	8128	korkeidmaan	kiinnostui	4	11	10
8129	-inf	-inf	4	1	8129	sainaisen	kannostaa	4	9	9
8130	-inf	-inf	4	1	8130	maailmansoman	palatti	4	13	7
8131	-inf	-inf	4	1	8131	lähteä	kautena	4	6	7
8132	-inf	-inf	4	1	8132	kaupange	jäänteli	4	8	8
8133	115.80371720724978	-1890.219323460398	4	22	8133	lintaja	ranskalainen	4	7	12
8134	115.90998872687092	-2117.658702737467	4	13	8134	ensäisty	norjan	4	8	6
8135	122.0203864707386	-1097.1598408976097	4	54	8135	lahdetta	luonton	4	8	7
8136	-inf	-inf	4	1	8136	paltaista	onnistui	4	9	8
8137	120.72681277089852	-2107.2831100585	4	13	8137	vallattu	korkeakoulun	4	8	12
8138	29.58499769073586	-2374.212856882581	4	6	8138	palkottelun	matkaaleista	4	11	12
8139	150.9311488804767	57.2540726527792	4	189	8139	keheisen	hallitti	4	8	8
8140	96.51605828527715	-2054.193050989204	4	16	8140	tekneistä	täyden	4	9	6
8141	111.9856143029782	-22.468471198124725	4	124	8141	koulee	saattavat	4	6	9
8142	103.32402866793404	-787.5038620112416	4	68	8142	turnattiin	käsitellä	4	10	9
8143	87.09256474140905	-1606.25552245533	4	35	8143	kaupungeessa	asettuivat	4	12	10
8144	7.424466272245724	-2493.2352626020097	4	2	8144	tainsa	luuta	4	6	5
8145	-inf	-inf	4	1	8145	vakivat	vaihtamaan	4	7	10
8146	23.5699581353962	-2414.5777731591347	4	5	8146	levyttyivät	tekelä	4	11	6
8147	95.34751184503077	-2339.149344649229	4	5	8147	maalasta	yksinopia	4	8	9
8148	121.88361485988284	-1318.113064412273	4	45	8148	kensialista	keskusteluja	4	11	12
8149	117.8247362444033	-453.4843356439078	4	81	8149	kiinnittiin	liiketettiin	4	11	12
8150	155.51954694348956	-386.5142598214229	4	83	8150	syyttämään	hengellä	4	10	8
8151	62.69863359814552	-2410.666501297035	4	3	8151	puolelta	muistuttava	4	8	11
8152	-inf	-inf	4	1	8152	neuvostoliitto	kerto	4	14	5
8153	-inf	-inf	4	1	8153	yhteensä	kauteen	4	8	7
8154	10.528983577071577	-2488.100344509376	4	2	8154	käensä	kansainvälistä	4	6	14
8155	-46.533865919486345	-2549.5900251061425	4	2	8155	tuutin	mestari	4	6	7
8156	84.90572691159966	-2265.418171797762	4	8	8156	kenraskunnan	alees	4	12	5
8157	103.34494175827896	-2233.181199143501	4	9	8157	lähteiden	tuloksen	4	9	8
8158	106.7649144568316	-1797.328481736346	4	26	8158	kokou	maatila	4	5	7
8159	-inf	-inf	4	1	8159	seurakunnan	tulevat	4	11	7
8160	152.85989716165054	-1491.854498921173	4	37	8160	sijoittuja	matehtuurin	4	10	11
8161	-inf	-inf	4	1	8161	nimet	kielen	4	5	6
8162	125.45956619173958	38.80922737611613	4	125	8162	käyttivät	toko	4	9	4
8163	87.03486112239156	-2344.3542977457664	4	5	8163	marka	täyttävät	4	5	9
8164	139.00989488781855	-1303.7537314421595	4	45	8164	merkein	merkittävästä	4	7	13
8165	141.0893825228206	-1936.172279585929	4	19	8165	toistunut	siipuolella	4	9	11
8166	17.92010378917621	-2488.0550132746885	4	2	8166	kentertä	kahdeksassa	4	8	11
8167	-inf	-inf	4	1	8167	lapsille	muutamaan	4	8	9
8168	0.5369579981527673	-2427.88146728334	4	5	8168	muuttumaan	sairata	4	10	7
8169	12.466961823151896	-2484.212248624632	4	2	8169	teollisuuden	lukuista	4	12	8
8170	-inf	-inf	4	1	8170	kapinaa	varsin	4	7	6
8171	-inf	-inf	4	1	8171	matil	liittivät	4	5	9
8172	-12.490921070208897	-2473.0807787421645	4	4	8172	perustun	tuhannettu	4	8	10
8173	82.17909470276379	-2304.22829686434	4	7	8173	luko	kuvautus	4	4	8
8174	7.234415124083269	-2489.7723998432566	4	2	8174	aloittaa	laajan	4	8	6
8175	95.79978494096376	-2340.153638673579	4	5	8175	hannettu	laitteen	4	8	8
8176	121.66978401455088	-2305.8544989652	4	5	8176	arvosanan	voimakasvaa	4	9	11
8177	-inf	-inf	4	1	8177	kohottiin	asettui	4	9	7
8178	93.66100319138904	-1969.3263945207068	4	20	8178	valtalosesta	totaan	4	12	6
8179	124.06559865135428	-2213.174186716822	4	9	8179	levyillä	alesti	4	8	6
8180	-inf	-inf	4	1	8180	tunnetu	olleeseen	4	7	9
8181	93.01288450782071	-2212.235161553868	4	10	8181	kompancen	asti	4	9	4
8182	-inf	-inf	4	1	8182	enestistä	kaupunginvaltasi	4	9	16
8183	131.6589546384697	-509.1958593569493	4	79	8183	kuuksen	voittajansa	4	7	11
8184	75.24577235726845	-2277.553677472622	4	8	8184	koohtaa	piitan	4	7	6
8185	5.493171615943237	-2493.6853487981552	4	2	8185	pietarin	kulkikunnan	4	8	11
8186	-15.86422042903978	-2515.0842700667577	4	2	8186	tehtäväkset	kansainvälisen	4	11	14
8187	147.53770278599316	-1324.2149701692977	4	44	8187	kannee	aremman	4	6	7
8188	130.11019720886304	-1945.3608578158407	4	19	8188	arton	suunnitelta	4	5	11
8189	-inf	-inf	4	1	8189	metsärihtäjä	parempa	4	12	7
8190	116.0758845677544	-2218.8589159907283	4	9	8190	kansaen	sijaitsi	4	7	8
8191	123.7291180345942	-2056.025690066356	4	15	8191	suuntteelmien	tiedellisen	4	13	11
8192	123.56194539451072	31.072736421345898	4	131	8192	saattata	kuningaskunnalla	4	8	16
8193	163.06820395171513	78.96229247581864	4	258	8193	tähtä	suomesta	4	5	8
8194	123.61347965187647	-1615.278075656276	4	33	8194	mikaanissa	noisen	4	10	6
8195	136.39829017932456	-893.4146488992056	4	62	8195	suositettiin	kilpailun	4	12	9
8196	-inf	-inf	4	1	8196	tormin	vaikuttavat	4	6	11
8197	52.06439319909289	-2382.5049305023754	4	5	8197	korkeimmilla	periksen	4	12	8
8198	101.46971998149849	-2210.516692750216	4	10	8198	tekemien	kylän	4	8	5
8199	89.70616720037548	-2171.8923051709367	4	12	8199	kertoimin	lentokoneen	4	9	11
8200	-inf	-inf	4	1	8200	laittoon	kerrottu	4	8	8
8201	128.52428051978035	-1214.93228225272	4	49	8201	lakeneen	laaja	4	8	5
8202	91.2791783113374	-2312.8841771339607	4	6	8202	aikuiset	keskustaa	4	8	9
8203	131.05079096434983	27.313056435393907	4	113	8203	reikkaa	kuuluja	4	7	7
8204	95.42540760312076	-2307.2688191253064	4	6	8204	lehdossa	puolosta	4	8	8
8205	134.11154281211472	-1900.251955024559	4	21	8205	maanisti	jonnuston	4	8	9
